Periodo,Comunidad autónoma,AÑO,Trimestre,Inactivos,Ocupados,Parados,Total Actividad
2020T4,"13 Madrid, Comunidad de",2020,T4,2053800.0000000002,3067500.0,480000.0,5601300.0
2020T4,"14 Murcia, Región de",2020,T4,508400.0,614100.0,111700.0,1234200.0
2020T4,"15 Navarra, Comunidad Foral de",2020,T4,227500.0,278400.0,36700.0,542600.0
2020T4,16 País Vasco,2020,T4,819300.0,920100.0,101800.0,1841200.0
2020T4,"17 Rioja, La",2020,T4,107500.0,141000.0,16300.0,264800.0
2020T4,18 Ceuta,2020,T4,28900.0,27400.0,9600.0,65900.0
2020T4,19 Melilla,2020,T4,21700.0,31000.0,10100.0,62800.0
2021T1,01 Andalucía,2021,T1,3104800.0,3047100.0,897300.0,7049200.0
2021T1,02 Aragón,2021,T1,474200.0,568400.0,80200.0,1122800.0
2021T1,"03 Asturias, Principado de",2021,T1,440200.0,386300.0,61500.0,888000.0
2021T1,"04 Balears, Illes",2021,T1,396200.0,487400.0,109900.0,993500.0
2021T1,05 Canarias,2021,T1,832300.0,773800.0,265900.0,1872000.0
2021T1,06 Cantabria,2021,T1,230600.0,238300.0,31200.0,500100.0
2021T1,07 Castilla y León,2021,T1,969500.0,951200.0,144100.0,2064800.0
2021T1,08 Castilla - La Mancha,2021,T1,731400.0,813000.0,172600.0,1717000.0
2021T1,09 Cataluña,2021,T1,2519700.0,3415300.0,514500.0,6449500.0
2021T1,10 Comunitat Valenciana,2021,T1,1859400.0,2008300.0,400300.0,4268000.0
2021T1,11 Extremadura,2021,T1,422300.0,370000.0,112600.0,904900.0
2021T1,12 Galicia,2021,T1,1128300.0,1060600.0,156100.0,2345000.0
2021T1,"13 Madrid, Comunidad de",2021,T1,2065600.0,3119200.0,434900.0,5619700.0
2021T1,"14 Murcia, Región de",2021,T1,504800.0,610800.0,124000.0,1239600.0
2021T1,"15 Navarra, Comunidad Foral de",2021,T1,233400.0,279400.0,36300.0,549100.0
2021T1,16 País Vasco,2021,T1,836500.0,917900.0,120900.0,1875300.0
2021T1,"17 Rioja, La",2021,T1,111400.0,139000.0,19000.0,269400.0
2021T1,18 Ceuta,2021,T1,30100.0,23800.0,10900.0,64800.0
