Grupo de edad;Comunidad autonoma;Sexo;Nivel de formacion;periodo;Total
25 - 64 años;Canarias;Mujeres;Inferior a 2ª etapa de E. Secundaria;2022;33,29
25 - 64 años;Canarias;Mujeres;Inferior a 2ª etapa de E. Secundaria;2021;35,18
25 - 64 años;Canarias;Mujeres;Inferior a 2ª etapa de E. Secundaria;2020;35,68
25 - 64 años;Canarias;Mujeres;Inferior a 2ª etapa de E. Secundaria;2019;40,05
25 - 64 años;Canarias;Mujeres;Inferior a 2ª etapa de E. Secundaria;2018;42,25
25 - 64 años;Canarias;Mujeres;2ª etapa E. Secundaria;2023;27,11
25 - 64 años;Canarias;Mujeres;2ª etapa E. Secundaria;2022;26,05
25 - 64 años;Canarias;Mujeres;2ª etapa E. Secundaria;2021;25,33
25 - 64 años;Canarias;Mujeres;2ª etapa E. Secundaria;2020;26,65
25 - 64 años;Canarias;Mujeres;2ª etapa E. Secundaria;2019;25,05
25 - 64 años;Canarias;Mujeres;2ª etapa E. Secundaria;2018;25,15
25 - 64 años;Canarias;Mujeres;E. Superior;2023;39,02
25 - 64 años;Canarias;Mujeres;E. Superior;2022;40,65
25 - 64 años;Canarias;Mujeres;E. Superior;2021;39,49
25 - 64 años;Canarias;Mujeres;E. Superior;2020;37,68
25 - 64 años;Canarias;Mujeres;E. Superior;2019;34,90
25 - 64 años;Canarias;Mujeres;E. Superior;2018;32,60
25 - 64 años;Cantabria;Hombres;Inferior a 2ª etapa de E. Secundaria;2023;29,83
25 - 64 años;Cantabria;Hombres;Inferior a 2ª etapa de E. Secundaria;2022;32,53
25 - 64 años;Cantabria;Hombres;Inferior a 2ª etapa de E. Secundaria;2021;35,01
25 - 64 años;Cantabria;Hombres;Inferior a 2ª etapa de E. Secundaria;2020;35,00
25 - 64 años;Cantabria;Hombres;Inferior a 2ª etapa de E. Secundaria;2019;34,59
25 - 64 años;Cantabria;Hombres;Inferior a 2ª etapa de E. Secundaria;2018;34,38
25 - 64 años;Cantabria;Hombres;2ª etapa E. Secundaria;2023;24,69
25 - 64 años;Cantabria;Hombres;2ª etapa E. Secundaria;2022;25,65
25 - 64 años;Cantabria;Hombres;2ª etapa E. Secundaria;2021;24,98
25 - 64 años;Cantabria;Hombres;2ª etapa E. Secundaria;2020;25,58
25 - 64 años;Cantabria;Hombres;2ª etapa E. Secundaria;2019;26,94
25 - 64 años;Cantabria;Hombres;2ª etapa E. Secundaria;2018;28,72
25 - 64 años;Cantabria;Hombres;E. Superior;2023;45,48
25 - 64 años;Cantabria;Hombres;E. Superior;2022;41,82
25 - 64 años;Cantabria;Hombres;E. Superior;2021;40,00
25 - 64 años;Cantabria;Hombres;E. Superior;2020;39,41
25 - 64 años;Cantabria;Hombres;E. Superior;2019;38,47
25 - 64 años;Cantabria;Hombres;E. Superior;2018;36,91
25 - 64 años;Cantabria;Mujeres;Inferior a 2ª etapa de E. Secundaria;2023;23,10
