Comunidad autónoma;Relación con la actividad en el trimestre actual;Relación con la actividad en el trimestre anterior;Periodo;Total
Total Nacional;Total (trimestre actual);Parados (trimestre anterior);2006T4;1.736,1
Total Nacional;Total (trimestre actual);Parados (trimestre anterior);2006T3;1.794,6
Total Nacional;Total (trimestre actual);Parados (trimestre anterior);2006T2;1.942,3
Total Nacional;Total (trimestre actual);Parados (trimestre anterior);2006T1;1.889
Total Nacional;Total (trimestre actual);Parados (trimestre anterior);2005T4;1.769,2
Total Nacional;Total (trimestre actual);Parados (trimestre anterior);2005T3;1.989,3
Total Nacional;Total (trimestre actual);Parados (trimestre anterior);2005T2;2.147,6
Total Nacional;Total (trimestre actual);Inactivos (trimestre anterior);2024T2;17.150,2
Total Nacional;Total (trimestre actual);Inactivos (trimestre anterior);2024T1;16.948,7
Total Nacional;Total (trimestre actual);Inactivos (trimestre anterior);2023T4;16.766,5
Total Nacional;Total (trimestre actual);Inactivos (trimestre anterior);2023T3;16.752,3
Total Nacional;Total (trimestre actual);Inactivos (trimestre anterior);2023T2;16.905,1
Total Nacional;Total (trimestre actual);Inactivos (trimestre anterior);2023T1;16.793,5
Total Nacional;Total (trimestre actual);Inactivos (trimestre anterior);2022T4;16.649,6
Total Nacional;Total (trimestre actual);Inactivos (trimestre anterior);2022T3;16.663
Total Nacional;Total (trimestre actual);Inactivos (trimestre anterior);2022T2;16.769,1
Total Nacional;Total (trimestre actual);Inactivos (trimestre anterior);2022T1;16.560,7
Total Nacional;Total (trimestre actual);Inactivos (trimestre anterior);2021T4;16.331,1
Total Nacional;Total (trimestre actual);Inactivos (trimestre anterior);2021T3;16.483,1
Total Nacional;Total (trimestre actual);Inactivos (trimestre anterior);2021T2;16.862,7
Total Nacional;Total (trimestre actual);Inactivos (trimestre anterior);2021T1;16.547
Total Nacional;Total (trimestre actual);Inactivos (trimestre anterior);2020T4;16.566,8
Total Nacional;Total (trimestre actual);Inactivos (trimestre anterior);2020T3;17.481,3
Total Nacional;Total (trimestre actual);Inactivos (trimestre anterior);2020T2;16.592,3
Total Nacional;Total (trimestre actual);Inactivos (trimestre anterior);2020T1;16.084,6
Total Nacional;Total (trimestre actual);Inactivos (trimestre anterior);2019T4;16.112,4
Total Nacional;Total (trimestre actual);Inactivos (trimestre anterior);2019T3;16.101,5
Total Nacional;Total (trimestre actual);Inactivos (trimestre anterior);2019T2;16.238,7
Total Nacional;Total (trimestre actual);Inactivos (trimestre anterior);2019T1;16.087,5
Total Nacional;Total (trimestre actual);Inactivos (trimestre anterior);2018T4;16.021
Total Nacional;Total (trimestre actual);Inactivos (trimestre anterior);2018T3;15.969,8
Total Nacional;Total (trimestre actual);Inactivos (trimestre anterior);2018T2;16.027,3
Total Nacional;Total (trimestre actual);Inactivos (trimestre anterior);2018T1;15.936,1
Total Nacional;Total (trimestre actual);Inactivos (trimestre anterior);2017T4;15.858,6
Total Nacional;Total (trimestre actual);Inactivos (trimestre anterior);2017T3;15.855,2
Total Nacional;Total (trimestre actual);Inactivos (trimestre anterior);2017T2;15.870
Total Nacional;Total (trimestre actual);Inactivos (trimestre anterior);2017T1;15.765,2
Total Nacional;Total (trimestre actual);Inactivos (trimestre anterior);2016T4;15.675,3
Total Nacional;Total (trimestre actual);Inactivos (trimestre anterior);2016T3;15.604,6
Total Nacional;Total (trimestre actual);Inactivos (trimestre anterior);2016T2;15.616,2
Total Nacional;Total (trimestre actual);Inactivos (trimestre anterior);2016T1;15.570,3
Total Nacional;Total (trimestre actual);Inactivos (trimestre anterior);2015T4;15.513,8
Total Nacional;Total (trimestre actual);Inactivos (trimestre anterior);2015T3;15.401,1
Total Nacional;Total (trimestre actual);Inactivos (trimestre anterior);2015T2;15.568
Total Nacional;Total (trimestre actual);Inactivos (trimestre anterior);2015T1;15.455,7
Total Nacional;Total (trimestre actual);Inactivos (trimestre anterior);2014T4;15.507
Total Nacional;Total (trimestre actual);Inactivos (trimestre anterior);2014T3;15.513,3
Total Nacional;Total (trimestre actual);Inactivos (trimestre anterior);2014T2;15.545,9
Total Nacional;Total (trimestre actual);Inactivos (trimestre anterior);2014T1;15.383,8
Total Nacional;Total (trimestre actual);Inactivos (trimestre anterior);2013T4;15.400,8
Total Nacional;Total (trimestre actual);Inactivos (trimestre anterior);2013T3;15.376,2
Total Nacional;Total (trimestre actual);Inactivos (trimestre anterior);2013T2;15.367,2
Total Nacional;Total (trimestre actual);Inactivos (trimestre anterior);2013T1;15.354,1
Total Nacional;Total (trimestre actual);Inactivos (trimestre anterior);2012T4;15.281
Total Nacional;Total (trimestre actual);Inactivos (trimestre anterior);2012T3;15.324,8
Total Nacional;Total (trimestre actual);Inactivos (trimestre anterior);2012T2;15.387,9
Total Nacional;Total (trimestre actual);Inactivos (trimestre anterior);2012T1;15.360,4
Total Nacional;Total (trimestre actual);Inactivos (trimestre anterior);2011T4;15.345,3
Total Nacional;Total (trimestre actual);Inactivos (trimestre anterior);2011T3;15.340,5
Total Nacional;Total (trimestre actual);Inactivos (trimestre anterior);2011T2;15.400,9
Total Nacional;Total (trimestre actual);Inactivos (trimestre anterior);2011T1;15.376,1
Total Nacional;Total (trimestre actual);Inactivos (trimestre anterior);2010T4;15.372
