rango edad;comunidad autonoma;sexo;etapa educativa;año;datos
55 - 64 años;Comunidad de Madrid;AMBOS SEXOS;2ª etapa E. Secundaria;2021;28,17
55 - 64 años;Comunidad de Madrid;AMBOS SEXOS;2ª etapa E. Secundaria;2020;28,11
55 - 64 años;Comunidad de Madrid;AMBOS SEXOS;2ª etapa E. Secundaria;2019;25,59
55 - 64 años;Comunidad de Madrid;AMBOS SEXOS;2ª etapa E. Secundaria;2018;25,99

55 - 64 años;Comunidad de Madrid;AMBOS SEXOS;E. Superior;2023;40,44
55 - 64 años;Comunidad de Madrid;AMBOS SEXOS;E. Superior;2022;40,18
55 - 64 años;Comunidad de Madrid;AMBOS SEXOS;E. Superior;2021;37,31
55 - 64 años;Comunidad de Madrid;AMBOS SEXOS;E. Superior;2020;37,30
55 - 64 años;Comunidad de Madrid;AMBOS SEXOS;E. Superior;2019;37,11
55 - 64 años;Comunidad de Madrid;AMBOS SEXOS;E. Superior;2018;32,97

55 - 64 años;Region de Murcia;AMBOS SEXOS;Inferior a 2ª etapa de E. Secundaria;2023;53,04
55 - 64 años;Region de Murcia;AMBOS SEXOS;Inferior a 2ª etapa de E. Secundaria;2022;55,49
55 - 64 años;Region de Murcia;AMBOS SEXOS;Inferior a 2ª etapa de E. Secundaria;2021;56,02
55 - 64 años;Region de Murcia;AMBOS SEXOS;Inferior a 2ª etapa de E. Secundaria;2020;55,71
55 - 64 años;Region de Murcia;AMBOS SEXOS;Inferior a 2ª etapa de E. Secundaria;2019;57,39
55 - 64 años;Region de Murcia;AMBOS SEXOS;Inferior a 2ª etapa de E. Secundaria;2018;61,38

55 - 64 años;Region de Murcia;AMBOS SEXOS;2ª etapa E. Secundaria;2023;21,78
55 - 64 años;Region de Murcia;AMBOS SEXOS;2ª etapa E. Secundaria;2022;19,89
55 - 64 años;Region de Murcia;AMBOS SEXOS;2ª etapa E. Secundaria;2021;18,24
55 - 64 años;Region de Murcia;AMBOS SEXOS;2ª etapa E. Secundaria;2020;18,15
55 - 64 años;Region de Murcia;AMBOS SEXOS;2ª etapa E. Secundaria;2019;18,61
55 - 64 años;Region de Murcia;AMBOS SEXOS;2ª etapa E. Secundaria;2018;18,57

55 - 64 años;Region de Murcia;AMBOS SEXOS;E. Superior;2023;25,18
55 - 64 años;Region de Murcia;AMBOS SEXOS;E. Superior;2022;24,63
55 - 64 años;Region de Murcia;AMBOS SEXOS;E. Superior;2021;25,74
55 - 64 años;Region de Murcia;AMBOS SEXOS;E. Superior;2020;26,15
55 - 64 años;Region de Murcia;AMBOS SEXOS;E. Superior;2019;24,00
55 - 64 años;Region de Murcia;AMBOS SEXOS;E. Superior;2018;20,04

55 - 64 años;Comunidad foral de Navarra;AMBOS SEXOS;Inferior a 2ª etapa de E. Secundaria;2023;37,08
55 - 64 años;Comunidad foral de Navarra;AMBOS SEXOS;Inferior a 2ª etapa de E. Secundaria;2022;39,21
55 - 64 años;Comunidad foral de Navarra;AMBOS SEXOS;Inferior a 2ª etapa de E. Secundaria;2021;42,24
55 - 64 años;Comunidad foral de Navarra;AMBOS SEXOS;Inferior a 2ª etapa de E. Secundaria;2020;44,28
55 - 64 años;Comunidad foral de Navarra;AMBOS SEXOS;Inferior a 2ª etapa de E. Secundaria;2019;45,13
55 - 64 años;Comunidad foral de Navarra;AMBOS SEXOS;Inferior a 2ª etapa de E. Secundaria;2018;46,03

55 - 64 años;Comunidad foral de Navarra;AMBOS SEXOS;2ª etapa E. Secundaria;2023;22,05
55 - 64 años;Comunidad foral de Navarra;AMBOS SEXOS;2ª etapa E. Secundaria;2022;24,74
55 - 64 años;Comunidad foral de Navarra;AMBOS SEXOS;2ª etapa E. Secundaria;2021;24,23
55 - 64 años;Comunidad foral de Navarra;AMBOS SEXOS;2ª etapa E. Secundaria;2020;21,49
55 - 64 años;Comunidad foral de Navarra;AMBOS SEXOS;2ª etapa E. Secundaria;2019;20,16
55 - 64 años;Comunidad foral de Navarra;AMBOS SEXOS;2ª etapa E. Secundaria;2018;20,24

55 - 64 años;Comunidad foral de Navarra;AMBOS SEXOS;E. Superior;2023;40,87
55 - 64 años;Comunidad foral de Navarra;AMBOS SEXOS;E. Superior;2022;36,06
55 - 64 años;Comunidad foral de Navarra;AMBOS SEXOS;E. Superior;2021;33,53
55 - 64 años;Comunidad foral de Navarra;AMBOS SEXOS;E. Superior;2020;34,23
55 - 64 años;Comunidad foral de Navarra;AMBOS SEXOS;E. Superior;2019;34,72
55 - 64 años;Comunidad foral de Navarra;AMBOS SEXOS;E. Superior;2018;33,73

55 - 64 años;Pais Vasco;AMBOS SEXOS;Inferior a 2ª etapa de E. Secundaria;2023;33,86
55 - 64 años;Pais Vasco;AMBOS SEXOS;Inferior a 2ª etapa de E. Secundaria;2022;32,60
55 - 64 años;Pais Vasco;AMBOS SEXOS;Inferior a 2ª etapa de E. Secundaria;2021;30,90
55 - 64 años;Pais Vasco;AMBOS SEXOS;Inferior a 2ª etapa de E. Secundaria;2020;36,96
55 - 64 años;Pais Vasco;AMBOS SEXOS;Inferior a 2ª etapa de E. Secundaria;2019;42,70
55 - 64 años;Pais Vasco;AMBOS SEXOS;Inferior a 2ª etapa de E. Secundaria;2018;43,43

55 - 64 años;Pais Vasco;AMBOS SEXOS;2ª etapa E. Secundaria;2023;23,92
55 - 64 años;Pais Vasco;AMBOS SEXOS;2ª etapa E. Secundaria;2022;25,05
55 - 64 años;Pais Vasco;AMBOS SEXOS;2ª etapa E. Secundaria;2021;25,49
