Comunidades_Autonomas,Sector,Tipo_Coste,Periodo,Total
País Vasco,Servicios,Sueldos y salarios,2018,"25.400,59"
"Rioja, La",Industria,Sueldos y salarios,2023,"25.845,14"
"Rioja, La",Industria,Sueldos y salarios,2022,"24.642,35"
"Rioja, La",Industria,Sueldos y salarios,2021,"23.942,53"
"Rioja, La",Industria,Sueldos y salarios,2020,"23.344,47"
"Rioja, La",Industria,Sueldos y salarios,2019,"24.283,75"
"Rioja, La",Industria,Sueldos y salarios,2018,"24.022,91"
"Rioja, La",Construcción,Sueldos y salarios,2023,"25.321,95"
"Rioja, La",Construcción,Sueldos y salarios,2022,"23.973,24"
"Rioja, La",Construcción,Sueldos y salarios,2021,"22.999,39"
"Rioja, La",Construcción,Sueldos y salarios,2020,"21.430,73"
"Rioja, La",Construcción,Sueldos y salarios,2019,"22.436,66"
"Rioja, La",Construcción,Sueldos y salarios,2018,"22.421,99"
"Rioja, La",Servicios,Sueldos y salarios,2023,"23.139,17"
"Rioja, La",Servicios,Sueldos y salarios,2022,"21.843,20"
"Rioja, La",Servicios,Sueldos y salarios,2021,"20.492,86"
"Rioja, La",Servicios,Sueldos y salarios,2020,"19.531,01"
"Rioja, La",Servicios,Sueldos y salarios,2019,"20.046,38"
"Rioja, La",Servicios,Sueldos y salarios,2018,"19.405,68"
